Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.33      0.03     0.03  1879699     0.00     0.00  Board::getCell(position)
 11.11      0.04     0.01  1103010     0.00     0.00  Cell::getOccupied()
 11.11      0.05     0.01   282617     0.00     0.00  Game::calculateDirection(position, position)
 11.11      0.06     0.01    34256     0.00     0.00  Game::updateGridToken(position)
 11.11      0.07     0.01    34256     0.00     0.00  Token::getGridBool()
 11.11      0.08     0.01     3864     0.00     0.00  Board::updateLeftTokens()
 11.11      0.09     0.01      641     0.02     0.02  Game::getPossibleMoves()
  0.00      0.09     0.00  1191175     0.00     0.00  Cell::getToken()
  0.00      0.09     0.00  1129200     0.00     0.00  Token::getTeam()
  0.00      0.09     0.00   776469     0.00     0.00  Game::positionInputValid(position)
  0.00      0.09     0.00   565586     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.09     0.00   546206     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.09     0.00   387773     0.00     0.00  Game::freePosition(position)
  0.00      0.09     0.00   277585     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.09     0.00   276333     0.00     0.00  __gnu_cxx::__promote_2<int, float, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<float, std::__is_integer<float>::__value>::__type>::__type std::pow<int, float>(int, float)
  0.00      0.09     0.00   274048     0.00     0.00  Game::checkIfCanCapture(int, int, position)
  0.00      0.09     0.00   273103     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.09     0.00   269873     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.09     0.00   269873     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
